product_id,brand,brand_slug,url,product_name,harvested_at,method,form,life_stage,ingredients,ingredients_tokens,allergen_groups,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,kcal_per_100g,pack_size,price,price_per_kg,price_bucket,form_confidence,life_stage_confidence,ingredients_confidence,price_confidence,has_jsonld,jsonld_type
belcando_012,Belcando,belcando,https://www.belcando.com/products/12,Belcando Natural Beef Puppy,2025-09-10T20:38:05.110630,scrapingbee_simulation,dry,puppy,"lamb meal, salmon, barley, rice, peas, sweet potato, chicken fat, vitamins, minerals","[""lamb meal"", ""salmon"", ""barley"", ""rice"", ""peas"", ""sweet potato"", ""chicken fat"", ""vitamins"", ""minerals""]","[""chicken"", ""lamb"", ""fish"", ""grain""]",25.7,8.0,3.8,5.0,8.9,328.0,2kg,57.6,28.8,premium,0.95,0.95,0.98,0.9,True,Product
belcando_013,Belcando,belcando,https://www.belcando.com/products/13,Belcando Sensitive Beef Small Breed,2025-09-10T20:38:05.110645,scrapingbee_simulation,wet,puppy,"chicken meal, lamb meal, corn, barley, peas, pumpkin, chicken fat, chondroitin, probiotics","[""chicken meal"", ""lamb meal"", ""corn"", ""barley"", ""peas"", ""pumpkin"", ""chicken fat"", ""chondroitin"", ""probiotics""]","[""chicken"", ""lamb"", ""grain""]",20.8,8.0,2.5,8.6,9.1,319.3,800g,53.52,66.9,super_premium,0.95,0.95,0.98,0.9,True,Product
belcando_014,Belcando,belcando,https://www.belcando.com/products/14,Belcando Light Chicken Adult,2025-09-10T20:38:05.110661,scrapingbee_simulation,dry,adult,"chicken, salmon, rice, oats, pumpkin, spinach, chicken fat, minerals, vitamins","[""chicken"", ""salmon"", ""rice"", ""oats"", ""pumpkin"", ""spinach"", ""chicken fat"", ""minerals"", ""vitamins""]","[""chicken"", ""fish""]",21.3,17.0,3.9,6.3,10.3,363.2,800g,35.81,44.76,super_premium,0.95,0.95,0.98,0.9,,
belcando_015,Belcando,belcando,https://www.belcando.com/products/15,Belcando Active Lamb Adult,2025-09-10T20:38:05.110676,scrapingbee_simulation,dry,all,"chicken meal, beef, corn, rice, carrots, spinach, chicken fat, probiotics, minerals","[""chicken meal"", ""beef"", ""corn"", ""rice"", ""carrots"", ""spinach"", ""chicken fat"", ""probiotics"", ""minerals""]","[""chicken"", ""beef"", ""grain""]",23.2,9.9,3.7,7.3,9.2,328.8,400g,48.14,120.35,super_premium,0.95,0.95,0.98,0.9,,
belcando_016,Belcando,belcando,https://www.belcando.com/products/16,Belcando Active Duck Puppy,2025-09-10T20:38:05.110692,scrapingbee_simulation,dry,all,"salmon, chicken meal, barley, oats, peas, pumpkin, chicken fat, minerals, vitamins","[""salmon"", ""chicken meal"", ""barley"", ""oats"", ""peas"", ""pumpkin"", ""chicken fat"", ""minerals"", ""vitamins""]","[""chicken"", ""fish"", ""grain""]",29.0,12.8,2.1,8.5,8.9,345.8,1.5kg,53.07,35.38,premium,0.95,0.95,0.98,0.9,,
belcando_017,Belcando,belcando,https://www.belcando.com/products/17,Belcando Premium Beef Large Breed,2025-09-10T20:38:05.110706,scrapingbee_simulation,wet,,"chicken meal, salmon, oats, wheat, carrots, spinach, salmon oil, minerals, chondroitin","[""chicken meal"", ""salmon"", ""oats"", ""wheat"", ""carrots"", ""spinach"", ""salmon oil"", ""minerals"", ""chondroitin""]","[""chicken"", ""fish"", ""grain""]",19.5,10.5,3.9,8.4,11.4,319.5,12kg,54.16,4.51,budget,0.95,0.0,0.98,0.9,True,Product
belcando_018,Belcando,belcando,https://www.belcando.com/products/18,Belcando Natural Duck Small Breed,2025-09-10T20:38:05.110721,scrapingbee_simulation,wet,adult,"turkey, beef, wheat, rice, peas, pumpkin, flaxseed oil, minerals, chondroitin","[""turkey"", ""beef"", ""wheat"", ""rice"", ""peas"", ""pumpkin"", ""flaxseed oil"", ""minerals"", ""chondroitin""]","[""chicken"", ""beef"", ""grain""]",24.4,14.7,5.8,7.2,8.1,349.6,400g,,,,0.95,0.95,0.98,0.0,,
belcando_019,Belcando,belcando,https://www.belcando.com/products/19,Belcando High-Protein Chicken Puppy,2025-09-10T20:38:05.110735,scrapingbee_simulation,dry,all,"chicken meal, chicken, rice, barley, peas, spinach, flaxseed oil, probiotics, glucosamine","[""chicken meal"", ""chicken"", ""rice"", ""barley"", ""peas"", ""spinach"", ""flaxseed oil"", ""probiotics"", ""glucosamine""]","[""chicken"", ""grain""]",20.9,18.5,4.1,6.7,10.6,367.6,12kg,50.29,4.19,budget,0.95,0.95,0.98,0.9,,
belcando_020,Belcando,belcando,https://www.belcando.com/products/20,Belcando Active Beef Puppy,2025-09-10T20:38:05.110750,scrapingbee_simulation,wet,adult,"beef, salmon, corn, rice, pumpkin, spinach, flaxseed oil, vitamins, chondroitin","[""beef"", ""salmon"", ""corn"", ""rice"", ""pumpkin"", ""spinach"", ""flaxseed oil"", ""vitamins"", ""chondroitin""]","[""beef"", ""fish"", ""grain""]",24.3,16.5,5.8,7.7,9.0,353.8,400g,53.9,134.75,super_premium,0.95,0.95,0.98,0.9,,
belcando_021,Belcando,belcando,https://www.belcando.com/products/21,Belcando High-Protein Chicken Adult,2025-09-10T20:38:05.110765,scrapingbee_simulation,dry,all,"beef, chicken meal, barley, wheat, carrots, peas, sunflower oil, probiotics, minerals","[""beef"", ""chicken meal"", ""barley"", ""wheat"", ""carrots"", ""peas"", ""sunflower oil"", ""probiotics"", ""minerals""]","[""chicken"", ""beef"", ""grain""]",31.2,10.1,3.2,6.3,11.1,328.4,10kg,47.5,4.75,budget,0.95,0.95,0.98,0.9,,
belcando_022,Belcando,belcando,https://www.belcando.com/products/22,Belcando Natural Venison Small Breed,2025-09-10T20:38:05.110781,scrapingbee_simulation,wet,puppy,"salmon, beef, oats, barley, sweet potato, pumpkin, sunflower oil, chondroitin, probiotics","[""salmon"", ""beef"", ""oats"", ""barley"", ""sweet potato"", ""pumpkin"", ""sunflower oil"", ""chondroitin"", ""probiotics""]","[""beef"", ""fish"", ""grain""]",25.4,8.1,5.0,5.3,9.8,320.2,2kg,33.92,16.96,mid,0.95,0.95,0.98,0.9,True,Product
belcando_023,Belcando,belcando,https://www.belcando.com/products/23,Belcando Sensitive Salmon Adult,2025-09-10T20:38:05.110796,scrapingbee_simulation,wet,adult,"salmon, beef, wheat, rice, peas, sweet potato, salmon oil, chondroitin, minerals","[""salmon"", ""beef"", ""wheat"", ""rice"", ""peas"", ""sweet potato"", ""salmon oil"", ""chondroitin"", ""minerals""]","[""beef"", ""fish"", ""grain""]",25.3,10.9,2.3,5.6,12.0,334.9,2kg,,,,0.95,0.95,0.98,0.0,True,Product
belcando_024,Belcando,belcando,https://www.belcando.com/products/24,Belcando Natural Venison Puppy,2025-09-10T20:38:05.110810,scrapingbee_simulation,dry,puppy,"chicken meal, chicken, rice, oats, carrots, pumpkin, sunflower oil, chondroitin, probiotics","[""chicken meal"", ""chicken"", ""rice"", ""oats"", ""carrots"", ""pumpkin"", ""sunflower oil"", ""chondroitin"", ""probiotics""]","[""chicken""]",24.7,15.0,4.8,6.8,10.8,346.6,1.5kg,52.2,34.8,premium,0.95,0.95,0.98,0.9,True,Product
belcando_025,Belcando,belcando,https://www.belcando.com/products/25,Belcando Grain-Free Salmon Senior,2025-09-10T20:38:05.110825,scrapingbee_simulation,wet,puppy,"lamb meal, salmon, barley, oats, spinach, sweet potato, salmon oil, vitamins, chondroitin","[""lamb meal"", ""salmon"", ""barley"", ""oats"", ""spinach"", ""sweet potato"", ""salmon oil"", ""vitamins"", ""chondroitin""]","[""lamb"", ""fish"", ""grain""]",28.1,18.3,4.8,6.2,10.4,366.6,2kg,42.99,21.5,premium,0.95,0.95,0.98,0.9,,
belcando_026,Belcando,belcando,https://www.belcando.com/products/26,Belcando Grain-Free Lamb Large Breed,2025-09-10T20:38:05.110840,scrapingbee_simulation,wet,puppy,"beef, lamb meal, barley, corn, carrots, sweet potato, flaxseed oil, chondroitin, minerals","[""beef"", ""lamb meal"", ""barley"", ""corn"", ""carrots"", ""sweet potato"", ""flaxseed oil"", ""chondroitin"", ""minerals""]","[""beef"", ""lamb"", ""grain""]",31.9,13.3,5.3,8.4,11.5,328.3,5kg,,,,0.95,0.95,0.98,0.0,,
belcando_027,Belcando,belcando,https://www.belcando.com/products/27,Belcando Premium Venison Senior,2025-09-10T20:38:05.110854,scrapingbee_simulation,dry,puppy,"lamb meal, chicken, barley, rice, peas, spinach, sunflower oil, chondroitin, minerals","[""lamb meal"", ""chicken"", ""barley"", ""rice"", ""peas"", ""spinach"", ""sunflower oil"", ""chondroitin"", ""minerals""]","[""chicken"", ""lamb"", ""grain""]",23.3,8.3,3.7,5.9,10.0,322.9,5kg,42.56,8.51,economy,0.95,0.95,0.98,0.9,,
belcando_028,Belcando,belcando,https://www.belcando.com/products/28,Belcando Natural Salmon Small Breed,2025-09-10T20:38:05.110869,scrapingbee_simulation,raw,adult,"turkey, chicken meal, oats, barley, pumpkin, sweet potato, flaxseed oil, minerals, glucosamine","[""turkey"", ""chicken meal"", ""oats"", ""barley"", ""pumpkin"", ""sweet potato"", ""flaxseed oil"", ""minerals"", ""glucosamine""]","[""chicken"", ""grain""]",,,,,,,5kg,35.89,7.18,economy,0.95,0.95,0.98,0.9,,
belcando_029,Belcando,belcando,https://www.belcando.com/products/29,Belcando Light Turkey Adult,2025-09-10T20:38:05.110882,scrapingbee_simulation,dry,senior,"salmon, turkey, corn, wheat, pumpkin, sweet potato, salmon oil, probiotics, chondroitin","[""salmon"", ""turkey"", ""corn"", ""wheat"", ""pumpkin"", ""sweet potato"", ""salmon oil"", ""probiotics"", ""chondroitin""]","[""chicken"", ""fish"", ""grain""]",30.2,16.8,4.0,7.2,11.8,353.5,2kg,54.77,27.39,premium,0.95,0.95,0.98,0.9,,
belcando_030,Belcando,belcando,https://www.belcando.com/products/30,Belcando Light Duck Large Breed,2025-09-10T20:38:05.110897,scrapingbee_simulation,wet,adult,"chicken meal, lamb meal, corn, barley, sweet potato, carrots, chicken fat, chondroitin, glucosamine","[""chicken meal"", ""lamb meal"", ""corn"", ""barley"", ""sweet potato"", ""carrots"", ""chicken fat"", ""chondroitin"", ""glucosamine""]","[""chicken"", ""lamb"", ""grain""]",23.9,18.0,2.6,7.4,9.1,373.1,12kg,35.48,2.96,budget,0.95,0.95,0.98,0.9,,
belcando_031,Belcando,belcando,https://www.belcando.com/products/31,Belcando Light Turkey Small Breed,2025-09-10T20:38:05.110912,scrapingbee_simulation,dry,puppy,"salmon, lamb meal, wheat, oats, pumpkin, sweet potato, sunflower oil, vitamins, chondroitin","[""salmon"", ""lamb meal"", ""wheat"", ""oats"", ""pumpkin"", ""sweet potato"", ""sunflower oil"", ""vitamins"", ""chondroitin""]","[""lamb"", ""fish"", ""grain""]",20.2,11.2,2.7,6.8,9.7,338.8,1.5kg,55.16,36.77,premium,0.95,0.95,0.98,0.9,True,Product
belcando_032,Belcando,belcando,https://www.belcando.com/products/32,Belcando Grain-Free Lamb Puppy,2025-09-10T20:38:05.110929,scrapingbee_simulation,wet,puppy,"salmon, lamb meal, rice, oats, peas, spinach, chicken fat, glucosamine, probiotics","[""salmon"", ""lamb meal"", ""rice"", ""oats"", ""peas"", ""spinach"", ""chicken fat"", ""glucosamine"", ""probiotics""]","[""chicken"", ""lamb"", ""fish""]",19.8,16.1,5.2,7.7,8.3,356.3,1.5kg,36.7,24.47,premium,0.95,0.95,0.98,0.9,,
belcando_033,Belcando,belcando,https://www.belcando.com/products/33,Belcando High-Protein Duck Adult,2025-09-10T20:38:05.110944,scrapingbee_simulation,wet,puppy,"chicken meal, salmon, oats, corn, pumpkin, peas, salmon oil, vitamins, glucosamine","[""chicken meal"", ""salmon"", ""oats"", ""corn"", ""pumpkin"", ""peas"", ""salmon oil"", ""vitamins"", ""glucosamine""]","[""chicken"", ""fish"", ""grain""]",,,,,,,2kg,43.76,21.88,premium,0.95,0.95,0.98,0.9,,
belcando_034,Belcando,belcando,https://www.belcando.com/products/34,Belcando Sensitive Chicken Adult,2025-09-10T20:38:05.110956,scrapingbee_simulation,dry,,"salmon, beef, rice, wheat, spinach, sweet potato, flaxseed oil, chondroitin, probiotics","[""salmon"", ""beef"", ""rice"", ""wheat"", ""spinach"", ""sweet potato"", ""flaxseed oil"", ""chondroitin"", ""probiotics""]","[""beef"", ""fish"", ""grain""]",28.4,14.7,4.9,6.0,9.1,353.5,800g,45.03,56.29,super_premium,0.95,0.0,0.98,0.9,,
