brand_raw,brand_slug,product_name_raw,product_name_norm,url,image_url,form_guess,life_stage_guess,ingredients_raw,ingredients_language,kcal_per_100g,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,pack_sizes,gtin,source,ingested_at,row_hash,product_key_candidate
Hill's Science,Hills Science,plan adult 1 sensitive stomach and skin small and mini,plan 1 sensitive stomach and skin and mini,https://www.allaboutdogfood.co.uk/dog-food-reviews/0428/hills-science-plan-adult-1-sensitive-stomach-and-skin-small-and-mini,,wet,adult,"Brewers' Rice, Chicken and Turkey Meal, Brown Rice, Maize, Maize Gluten Meal, Barley, Oats, Animal Fat, Digest, Vegetable Oil, Dried Beet Pulp, Flaxseed, Minerals.",en,,,,,,,,,aadf,2025-09-12T08:53:18.471031,ccdae8fb98fc3d161bca8b9faedf81ee,416d7f758ac53015
Orlando,Orlando,natural complete,natural complete,https://www.allaboutdogfood.co.uk/dog-food-reviews/2931/orlando-natural-complete,,wet,unknown,"Maize, Barley, Lamb (14%), Meat Meals (13%), Poultry Fat, Poultry Gravy, Beet Pulp, Linseed (1%), Minerals, Yeast Products (1000 mg/kg), Chicory Extract (1000 mg/kg), Beta Glucans (300 mg/kg), Yucca Extract (120 mg/kg), Cranberry (100 mg/kg), Parsley (100 mg/kg), Turmeric (100 mg/kg), Chamomile (100 mg/kg).",en,,,,,,,,,aadf,2025-09-12T08:53:18.471119,6304f99f45d5e05a3295f6c9c0140529,066c32568d611b7d
Freshpet,Freshpet,select bags grain free,select bags grain free,https://www.allaboutdogfood.co.uk/dog-food-reviews/2104/freshpet-select-bags-grain-free,,unknown,unknown,"Chicken (75%), Chicken Liver (11%), Pea Fibre, Pea Protein, Eggs (1%), Carrots (0.9%), Garlic Powder, Minerals, Spinach (0.6%), Celery Seed Powder.",en,,,,,,,,,aadf,2025-09-12T08:53:18.471204,d4f8f5278f795def87ba813fafd2c443,f24d166527e8c2f8
Primal,Primal,spirit complete wilderness,spirit complete wilderness,https://www.allaboutdogfood.co.uk/dog-food-reviews/4259/primal-spirit-complete-wilderness,,dry,unknown,"20.4% Fresh Pork, 20.4% Fresh Chicken, 20.4% Fresh Fish, 20.4% Rice, 5% Beet Pulp, 3.5% Brewers Yeast, 3.2% Pumpkin, 3.2% Banana, 2.65% Pineapple, 0.25% Sage, 0.25% Ginger, 0.25% Turmeric.",en,,,,,,,,,aadf,2025-09-12T08:53:18.471302,a71c3866979ade2142c4d7382804bac6,fd0a30779a09dded
Terra,Terra,canis senior wet food,canis,https://www.allaboutdogfood.co.uk/dog-food-reviews/3153/terra-canis-senior-wet-food,,wet,senior,"Chicken Heart (30%), Chicken Stomach (22%), Potato, Courgette, Pumpkin (8%), Tomato, Cucumber (5%), Chicken Muscle Meat (4%), Chicken Liver (4%), Goat's Milk (2%), Coconut Flour, Linseed Oil, Oyster Shell, Brewer's Yeast, Horsetail (0.3 %), Hawthorn Berry Powder (0.3 %), Glucosamine(0.2 %), Fennel Seed, Camomile (0, 2%), Stinging Nettle (0.2 %), Rose Hip, Mineral Clay, Pollen, Seaweed, Minerals.",en,,,,,,,,,aadf,2025-09-12T08:53:18.471391,fa7b94fbe93f83ab7e293f1d47929426,30dd4f101e470e53
Ava,Ava,breed health boxer dry,breed health boxer,https://www.allaboutdogfood.co.uk/dog-food-reviews/1854/ava-breed-health-boxer-dry,,wet,unknown,"Chicken Meal (24.1%), Sweet Potato (23.8%), Chicken (15.8%) Pea Starch (11.4%), Chicken Fat (5.7%), Beet Pulp (5.3%), Pumpkin, Chicken Gravy (2.6%), Salmon Oil, Brewers Yeast, Egg, Minerals, Chicory Inulin (a Source of Prebiotic Fructooligosaccharides (2, 000mg/kg), Yeasts (1375mg/kg), Glucosamine (400mg/kg), Chondroitin Sulphate (300mg/kg), Yucca Schidigera Extract (250mg/kg), Cranberry Extract (180mg/kg), Pomegranate Extract (90mg/kg), Green Tea Extract (90mg/kg).",en,,,,,,,,,aadf,2025-09-12T08:53:18.471532,6e2860fad9704ccdde363b84c6fec780,6974614d07340eec
Ci,Ci,tickety boo,tickety boo,https://www.allaboutdogfood.co.uk/dog-food-reviews/1649/ci-tickety-boo,,dry,unknown,"Duck 50% (Freshly Prepared Duck 28%, Dried Duck 20%, Duck Stock 2%), Sweet Potato (26%), Peas (6%), Potato, Beet Pulp, Linseed, Omega 3 Supplement, Minerals, Vitamins, Vegetable Stock, Orange (0.3%), Cranberry, FOS (96 mg/kg), MOS (24 mg/kg).",en,,,,,,,,,aadf,2025-09-12T08:53:18.471648,9b939c22b03aa548bb5a291180314045,b68abbd80ec59498
Canagan,Canagan,adult tins,tins,https://www.allaboutdogfood.co.uk/dog-food-reviews/1293/canagan-adult-tins,,wet,adult,"Freshly Prepared Deboned Free-Run Chicken (65%), Sweet Potato, Prebiotics (Chicory, Banana), Organic Carrots, Organic Peas, Organic Broccoli, Vitamins & Minerals, Green Lipped Mussel, Salmon Oil, Organic Apple, Organic Spinach, Seaweed, Parsley, Yucca, Rosehips, Nettle, Marigold, Slippery Elm, Aniseed, Peppermint, Rosemary.",en,,,,,,,,,aadf,2025-09-12T08:53:18.471738,f68d98c32352614ed1454a27fb67b0b6,8b6fe64ef4cccfaf
Millies Wolfheart,Millies Wolfheart,gamekeepers mix,gamekeepers mix,https://www.allaboutdogfood.co.uk/dog-food-reviews/1016/millies-wolfheart-gamekeepers-mix,,dry,unknown,"Dried Salmon (20%), Potato (11%), Sweet Potato, Freshly Prepared Salmon (10.5%), Tapioca, Freshly Prepared Goat (9%), Dried Rabbit (8%), Salmon Oil (5.5%), Chickpeas, Freshly Prepared Trout (5%), Tomato Pomace, Salmon Gravy (1.5%), Minerals, Joint Pack (Glucosamine 177.5 mg/kg, Methylsulfonylmethane 177.5 mg/kg, Chondroitin Sulphate 125 mg/kg), Mixed Herbs, Dried Apple, Dried Carrot, Dried Cranberry, Aniseed, Fenugreek, Dried Seaweed, Burdock Root, Dried Chamomile, Dried Dandelion, Dried Peppermint.",en,,,,,,,,,aadf,2025-09-12T08:53:18.471824,57537e15fe4314b5734ca9f39356e6f5,805212d258b8cb28
Ava,Ava,medium breed adult,,https://www.allaboutdogfood.co.uk/dog-food-reviews/1779/ava-medium-breed-adult,,wet,adult,"Chicken 44% (Chicken Meal 24%, Fresh Chicken 12.5%, Chicken Fat 5%, Chicken Gravy 2.5%), Brown Rice (23.5%), Maize (18%), Beet Pulp (7%), Salmon Oil, Brewers Yeast, Minerals, Whole Dried Egg, Pre-Biotic Fructo-Oligosaccharide (1600mg/kg), Beta-Glucans, Pre-Biotic Mannan Oligosaccharides (400mg/kg), Yucca Extract (200mg/kg), Glucosamine (200mg/kg), Chondroitin (150mg/kg), Yucca Extract (200mg/kg), Cranberry Extract, Green Tea Extract, Pomegranate Extract, Rosemary Extract, Antioxidants.",en,,,5.0,,,,,,aadf,2025-09-12T08:53:18.471962,7b1d5e9e669bf2407a08e9f8b3c207eb,f93d21123bce9d5b
Gentle,Gentle,fish,,https://www.allaboutdogfood.co.uk/dog-food-reviews/3191/gentle-fish,,dry,unknown,"Dried Ground White Fish (34.5%), Dried Ground Brown Rice (27%), Potato Flakes (23%), Dried Ground Parsnips, Fish Oil, Cold Pressed Oils (Rapeseed and Linseed), Dried Ground Sea Algae, Dried Ground Apples, Dried Ground Pears, Dried Ground Courgette, Dried Ground Herbal Blend, Dried Ground Blueberries, Ground Egg Yolk, Green Mineral Clay.",en,,,,,,,,,aadf,2025-09-12T08:53:18.472054,00d9c3a27a0e68e56ee3b12a039635c1,7235dc55e8b504e4
Wellness,Wellness,core senior,core,https://www.allaboutdogfood.co.uk/dog-food-reviews/1838/wellness-core-senior,,wet,senior,"Turkey 29% (Fresh Turkey 17%, Turkey Meal 12%), Chicken Meal 16%, Peas, Dried Potatoes, Chickpeas, Beet Pulp 3%, Chicken Fat 2%, Cellulose, Potato Protein, Salmon Oil 1%, Dried Chicory Root 0.5%, Carrots, Apples, Broccoli, Spinach, Blueberries, Cranberries, Tomatoes, Yucca Schidigera, Yeast Extract (Source of Mannan-Oligosaccharides), Glucosamine Hydrochloride 200 mg/kg, Chondroitin Sulfate 200 mg/kg.",en,,,2.0,,,,,,aadf,2025-09-12T08:53:18.472162,d5789ff1d50b3e54f98c7706238b4637,de1f3b4bbead4d46
Ava,Ava,sensitive skin and stomach adult,sensitive skin and stomach,https://www.allaboutdogfood.co.uk/dog-food-reviews/1782/ava-sensitive-skin-and-stomach-adult,,wet,adult,"Fish 42% (White Fishmeal 20.5%, Fresh White Fish 19%, Fish Stock 2.5%), Tapioca (20%), Sweet Potato (18.5%), Beet Pulp (6%), Chicken Fat, Brewers Yeast, Salmon Oil, Minerals, Fructo-Oligosaccharide (1600mg/kg), Beta-Glucans, Mannan-Oligosaccharides (400mg/kg), Yucca Extract (200mg/kg), Glucosamine (200mg/kg), Chondroitin (150mg/kg), Cranberry Extract, Green Tea Extract, Pomegranate Extract, Rosemary Extract.",en,,,,,,,,,aadf,2025-09-12T08:53:18.472294,a2bbc40c64ae041b3bbca1629c3f319d,29ccd89ed7549ebd
Naturo,Naturo,adult grain free dry,grain free,https://www.allaboutdogfood.co.uk/dog-food-reviews/2647/naturo-adult-grain-free-dry,,dry,adult,"Turkey 47.3% (Turkey Meat Meal 26.9%, Fresh Turkey 18%, Turkey Digest 2.4%), Potato 26%, Poultry Fat 4%, Dried Sugar Beet, Pea Starch (3%), Dried Peas (3%), Whole Linseed (2%), Dried Carrot (2%), Dried Tomato Pomace (0.5%), Seaweed Meal, Brewers Yeast, Fructooligosaccharides (FOS), Mannanoligosaccharides (MOS), Glucosamine, Methylsulfonylmethane, Chondroitin, Rosemary Extract, Extract of Yucca Schidigera.",en,,,4.0,,,,,,aadf,2025-09-12T08:53:18.472448,5dbb9182e21d40c26819c7cdf5b895d0,531f11cac6d7804f
Nature's Menu,Natures Menu,original nuggets adult,original nuggets,https://www.allaboutdogfood.co.uk/dog-food-reviews/0229/natures-menu-original-nuggets-adult,,unknown,adult,"Chicken 50%, Brown Rice 19%, Peas 10%, Carrots 5%, Swede 5%, Salmon 5%, Chicken Liver 5%, Yucca Extract, Green Tea Extract, Dicalcium Phosphate.",en,,,,,,,,,aadf,2025-09-12T08:53:18.472521,b7ee175c55e89cf925a1906e225a2c2a,e6481013e1b24e3a
Little,Little,bigpaw naturally delicious,bigpaw naturally delicious,https://www.allaboutdogfood.co.uk/dog-food-reviews/1798/little-bigpaw-naturally-delicious,,wet,unknown,"Turkey 50%, Broccoli 4%, Carrots 4%, Cranberries 4%, Vitamins and Minerals, Sunflower Oil, Salmon Oil, Flaxseed Oil, Dried Kelp, Dried Parsley, Dried Chicory Root, Mannanoligosaccharides (Prebiotic MOS), Dried Nettle, Green Tea, Dried Rosehip, Glucosamine, Chondroitin Sulphate, Marigold.",en,,,,,,,,,aadf,2025-09-12T08:53:18.472655,7b2585e90ee127d2ceabb2ae646cd3a7,bea6677a4ae51653
Simpsons,Simpsons,premium puppy 8020,premium 8020,https://www.allaboutdogfood.co.uk/dog-food-reviews/0869/simpsons-premium-puppy-8020,,wet,puppy,"Deboned Salmon 21%, Dried Herring 21%, Deboned White Fish 9%, Sweet Potato, Deboned Chicken 8%, Salmon Oil 7%, Potato, Dried Salmon 6%, Dried Chicken 3%, Pea Fibre, Dried White Fish 3%, Chicken Gravy 2%, Vitamins and Minerals, Lucerne, Yucca Extract, Dried Apple, Dried Carrot, Spinach, Dried Seaweed, Dried Cranberry, Fructooligosaccharides (FOS), Aniseed, Fenugreek, Thyme, Marjoram, Oregano, Parsley, Sage, Glucosamine, MSM, Chondroitin.",en,,,,,,,,,aadf,2025-09-12T08:53:18.472768,c914cab75d235d0c035d0bd818fe18c2,3817b20ec0c350b7
Barking Heads,Barking Heads,adult dry food,,https://www.allaboutdogfood.co.uk/dog-food-reviews/0054/barking-heads-adult-dry-food,,dry,adult,"Chicken 50% (31% Freshly Prepared Free Run Chicken, 14% Dried Chicken, 2.5% Chicken Gravy, 2.5% Chicken Fat), Rice (26%), Oats, Peas (10%), Lucerne, Salmon Oil (1%), Minerals, Yeast Products (1000mg/kg), Chicory Root Extract (FOS 1000mg/kg), Seaweed, Dried Carrot (500mg/kg), Mixed Herbs (Peppermint, Rosemary, Oregano, Thyme 500mg/kg), Beta Glucans.",en,,,,,,,,,aadf,2025-09-12T08:53:18.472871,48787a83649837478b70f9fd170345b1,77bc90682e016dfa
Royal Canin,Royal Canin,cavalier king charles adult,cavalier king charles,https://www.allaboutdogfood.co.uk/dog-food-reviews/2769/royal-canin-cavalier-king-charles-adult,,wet,adult,"Rice, Vegetable Protein Isolate, Dehydrated Poultry Protein, Maize, Animal Fats, Hydrolysed Animal Proteins, Beet Pulp, Vegetable Fibres, Minerals, Fish Oil, Soya Oil, Dehydrated Tomato, Fructo-Oligo-Saccharides, Hydrolysed Yeast, Borage Oil (0.1%), Marigold Extract, Hydrolysed Crustaceans, Hydrolysed Cartilage.",en,,,,,,,,,aadf,2025-09-12T08:53:18.473061,71246fee1e414a396864f7214fcc309b,0488fccff91e1128
Huntland,Huntland,grain free adult,grain free,https://www.allaboutdogfood.co.uk/dog-food-reviews/2335/huntland-grain-free-adult,,dry,adult,"Salmon & Trout 50% (Freshly Prepared Salmon & Trout 36%, Dried Salmon 12%, Salmon Stock 2%), Sweet Potato (24%), Peas (9%), Potato, Beet Pulp, Linseed, Omega 3 Supplement, Minerals, Vitamins, Vegetable Stock, Asparagus (0.3%), FOS (96 mg/kg), MOS (24 mg/kg).",en,,,,,,,,,aadf,2025-09-12T08:53:18.473175,981e194cb5f46af654eb103fc8c8fc0a,631ca0fb00958e0d
Barkin,Barkin,bistro surf and turf raw,bistro surf and turf,https://www.allaboutdogfood.co.uk/dog-food-reviews/3097/barkin-bistro-surf-and-turf-raw,,raw,unknown,"45% Chicken with Bone, 20% Beef Heart, 15% Mackerel, 5% Beef Liver, 5% Beef Kidney, Apple, Broccoli, Carrot, Cabbage, Sweet Potato, Turmeric.",en,,,,,,,,,aadf,2025-09-12T08:53:18.473245,e675c49601be378acd239c13a254eb56,290bc88005e10d1f
Wilsons,Wilsons,fresh food,fresh food,https://www.allaboutdogfood.co.uk/dog-food-reviews/4488/wilsons-fresh-food,,unknown,unknown,"Beef Muscle Meat (39%), Beef Kidneys (15%), Beef Liver (10%), Sweet Potato (10%), Green Beans (10%), Carrots (9%), Chia Seeds (4%), Minerals and Vitamins (1.4%), Egg Shells (0.7%), Sunflower Oil (0.7%), Seaweed (0.5%), Chicory 0.13%, Dl Methionine (0.02%), Mannanoligosaccharides (0.02%), Inulin (0.02%), Glucosamine (0.016%), Chondroitin Sulphate (0.012%), Yucca Schidigera (0.01%), Rosemary and Tocopherol Extracts (0.001%), Thyme (0.004%), Carnitine (0.002%), Cranberry (0.002%), Dandelion Root (0.002%), Marigold Yellow (0.002%), Ginger (0.002%), Turmeric (0.002%).",en,,,,,,,,,aadf,2025-09-12T08:53:18.473329,549ddbe71c978410eed8f4e7b7145d1e,84c4d500b704cac0
Hill's Science,Hills Science,plan puppy 1 small and mini,plan 1 and mini,https://www.allaboutdogfood.co.uk/dog-food-reviews/0135/hills-science-plan-puppy-1-small-and-mini,,dry,puppy,"Chicken and Turkey Meal, Maize, Wheat, Animal Fat, Digest, Brewers' Rice, Maize Gluten Meal, Dried Beet Pulp, Minerals, Fish Oil, Flaxseed, Dried Tomato Pomace, Dried Citrus Pulp, Dried Spinach.",en,,,,,,,,,aadf,2025-09-12T08:53:18.473423,22b5a4ea19c4bfd108b9842be1f20670,5b634983547bb296
CSJ,CSJ,little champ,little champ,https://www.allaboutdogfood.co.uk/dog-food-reviews/0277/csj-little-champ,,dry,adult,"Beef and Lamb Meal (17%), Wheat, Chicken Meal (15%), Maize, Chicken Fat, Chicken Liver (3%), Unmolassed Beet Pulp, Full Fat Linseed, Alfalfa, Potassium Chloride, Salt, Yucca Schidigera.",en,,,,,,,,,aadf,2025-09-12T08:53:18.473489,077f1a336b708e90e619828c8e1e2d32,53720f23fa82d63f
Brit,Brit,care hypoallergenic puppy,care hypoallergenic,https://www.allaboutdogfood.co.uk/dog-food-reviews/2995/brit-care-hypoallergenic-puppy,,wet,puppy,"Dehydrated Lamb (46%), Rice (30%), Chicken Fat, Salmon Oil (3%), Brewers Yeast, Natural Flavour, Dried Apple Pulp, Hydrolysed Yeast (0.5%), Pea Flour, Glucosamine (300 mg/kg), Fructo-Oligosaccharides (230 mg/kg), Chondroitin Sulphate (230 mg/kg), Mannan-Oligosaccharides (180 mg/kg), Mojave Yucca (180 mg/kg), Milk Thistle Seed (110 mg/kg), Beta-Glucans, Dried Sea Buckthorn (60mg/kg), Probiotic Lactobacillus Helveticus.",en,,,,,,,,,aadf,2025-09-12T08:53:18.473646,9c8174513e2b9e7188567bde3ca1ede5,925cd5f54021dca6
Burns,Burns,grain free adult senior,grain free,https://www.allaboutdogfood.co.uk/dog-food-reviews/3035/burns-grain-free-adult-senior,,dry,senior,"Potato (45%), Buckwheat (27%), Duck Meal (19%), Duck Fat, Peas, Seaweed, Minerals.",en,,,,,,,,,aadf,2025-09-12T08:53:18.473738,aa6df3e7f70c269d4dd7998dfe54473b,5c022af357ed5804
Forthglade,Forthglade,lightly baked,lightly baked,https://www.allaboutdogfood.co.uk/dog-food-reviews/3017/forthglade-lightly-baked,,dry,unknown,"Chicken 50% (Dried Chicken 26%, Fresh Chicken 24%), Dried Sweet Potato (26%), Dried Peas, Dried Beet Pulp, Chicken Fat, Dried Alfalfa, Chicken Gravy, Mannan- Oligosaccharides (0.05%), Chicory Root Extract (0.05%), Dried Botanicals 0.03% (Dandelion Leaf, Marigold), Yucca Extract (200mg/kg).",en,,,,,,,,,aadf,2025-09-12T08:53:18.473826,3c018ff3ef329a7175b6f78922a7bb81,365c653fb5961b62
Harringtons,Harringtons,dry light,light,https://www.allaboutdogfood.co.uk/dog-food-reviews/3854/harringtons-dry-light,,wet,puppy,"Chicken and Meat Meals 26% (Including Dried Chicken 6.5%), Barley, Maize, Rice (14%), Oats (4%), Freshly Prepared Chicken (4%), Beet Pulp, Salmon Oil (1%), Poultry Fat, Minerals, Poultry Gravy (0.5%), Seaweed (0.1%), FOS (0.1%), Glucosamine (0.05%), Chondroitin (0.01%), Yucca Extract (0.01%).",en,,,,,,,,,aadf,2025-09-12T08:53:18.473954,1d5e9251f596a6ea4871b11886ec7cff,7f914baeff8efea4
Wainwrights,Wainwrights,mature small breed,mature,https://www.allaboutdogfood.co.uk/dog-food-reviews/1033/wainwrights-dry-mature-small-breed,,wet,senior,"Turkey 33% (Dried Turkey 28%, Freshly Prepared Turkey 5%), Brown Rice (26%), Whole Grain Barley (25%), Beet Pulp (6.5%), Whole Ground Oats (4.5%), Rapeseed Oil, Linseed (2%), Seaweed (0.2%), Glucosamine (0.05%), Yucca Extract (0.02%), Chondroitin (0.015%).",en,,,,,,,,,aadf,2025-09-12T08:53:18.474094,0be366c7d00ed40e98db944385886e03,b8bf050922f94697
Pooch,Pooch,and mutt wet foods,and mutt foods,https://www.allaboutdogfood.co.uk/dog-food-reviews/2254/pooch-and-mutt-wet-foods,,wet,unknown,"Fresh Turkey 42%, Fresh Duck 18%, Peas 6.3%, Carrots 3%, Yucca Extract 0.06%, Chicory Root Extract 0.05%.",en,,,,,,,,,aadf,2025-09-12T08:53:18.474165,da523ebe1d928fb833ff04cebfcb9e86,4746e0b8f285468a
Ydolo,Ydolo,dry adult,,https://www.allaboutdogfood.co.uk/dog-food-reviews/4237/ydolo-dry-adult,,dry,adult,"75% Fresh Pork, 20% Sweet Potato, 3% Health Mix (Banana 5982 mg/kg), Artichoke (5085 mg/kg), Chicory, Alfalfa (2991 mg/kg), Apples (2692 mg/kg), Pumpkin (2393 mg/kg), Blueberries (2094 mg/kg), Green Lipped Mussel (1196 mg/kg), Rosemary (897 mg/kg) Thyme (598 mg/kg), Oregano (449 mg/kg), Milk Thistle, Spirulina (239 mg/kg), Olive Oil, Yucca), 1% Trout Oil, Glucosamine (1000 mg/kg), Chondroitin (850 mg/kg), MSM (650 mg/kg).",en,,,,,,,,,aadf,2025-09-12T08:53:18.474264,0591455d0dc0016fb33908d9d40c734e,7af1e353e7688ba7
Terra,Terra,canis hypoallergenic wet food,canis hypoallergenic,https://www.allaboutdogfood.co.uk/dog-food-reviews/3067/terra-canis-hypoallergenic-wet-food,,wet,unknown,"Horse Muscle Meat (60%), Jerusalem Artichoke (36%), Linseed Oil, Rapeseed Oil, Seaweed, Minerals Dried.",en,,,,,,,,,aadf,2025-09-12T08:53:18.474411,b1fb3a58bb2ff6860a4dfa61a253fb38,a1c80b01d656bb54
Nutrivet,Nutrivet,instinct regional meat farmer,instinct regional meat farmer,https://www.allaboutdogfood.co.uk/dog-food-reviews/0517/nutrivet-instinct-regional-meat-farmer,,wet,unknown,"Wild Boar (min. 13%), Beef (min. 11%), Lamb (min. 11%), Mutton (min. 10%), Potatoes, Peas, Chicken Fat (min. 9%), Beef Liver (min. 5%), Powdered Eggs (min. 4%), Dehydrated Wild Boar (min. 4%), Dehydrated Lamb (min. 4%), Salmon (min. 3%), Dehydrated Chicken (min. 3%), Dehydrated Pea Protein, Salmon Oil (min. 4%), Beetroot Pulp, Green Beans, Lentils, Sweet Potatoes, Tomatoes, Apples, Alfalfa, Spinach, Chicory Root, Yeast, Fennel Leaves, Lingon Berries, Pomegranate Pulp, Blackcurrant Jelly, Vitamins & Minerals, Dehydrated Plasma Protein, Hydrolysed Poultry Livers, Grape SeedS, Potassium Chloride, Calcium Carbonate, Fructo-Oligosaccharides (FOS), Mannan-Oligosaccharides (MOS), Taurine, Fucus Vesiculosus Extract (Bladderwrack), Ascophyllum Nodosum Extract (Rockweed), Yucca Schidigera Extract, Chondroitin Sulphate, N-Acetyl-Glucosamine Sulphate, Methyl-Sulfonyl-Methane, Mint Leaf, L-Carnitine Tartrate, Rosemary Extract, Green Tea Extract, Phosphoric Acid.",en,,,,,,,,,aadf,2025-09-12T08:53:18.474505,3ee8d716fd49072bbd34ce323f283c2d,6cb70a4cc9a1da1f
Primal,Primal,spirit iberian complete dry,spirit iberian complete,https://www.allaboutdogfood.co.uk/dog-food-reviews/4146/primal-spirit-iberian-complete-dry,,wet,unknown,"40% Fresh Pork, 30% Fresh Salmon, White Rice, Milled Beet, Brewers Yeast, Turmeric.",en,,,,,,,,,aadf,2025-09-12T08:53:18.474578,f38dfd28a165249a0b68d2e17793747c,7d34f9afb16d3909
Forza10,Forza10,bio everyday,bio everyday,https://www.allaboutdogfood.co.uk/dog-food-reviews/1300/forza10-bio-everyday,,dry,unknown,"Dehydrated Organic Corn, Defatted Organic Chicken (25%), Organic Algae 5% (Ascophyllum Nodosum), Organic Sunflower Oil, Organic Chicken Fat, Minerals.",en,,,,,,,,,aadf,2025-09-12T08:53:18.474662,f171e8edac4b3d03ce0ca7c644b09ac8,299fc675c37f3c0a
Canine,Canine,choice premium adult,choice premium,https://www.allaboutdogfood.co.uk/dog-food-reviews/2607/canine-choice-premium-adult,,wet,puppy,"40% Chicken (Dried Chicken 26%, Freshly Prepared Chicken 14%), Rice (30%), Barley (15%), Peas (5%), Chicken Fat (5%), Beet Pulp (3%), Linseed (1%), Minerals, Chicory (1000mg/kg), Mannanoligosaccharides (1000mg/kg), Turmeric (100mg/kg), Parsley (100mg/kg), Yucca (100mg/kg), Dried Cranberry (100mg/kg).",en,,,,,,,,,aadf,2025-09-12T08:53:18.474802,025000a55cac8d33e0fe6938968c3ec9,2ada333b56e7298a
Heights,Heights,farm adult extra joint care grain free,farm extra joint care grain free,https://www.allaboutdogfood.co.uk/dog-food-reviews/2450/heights-farm-adult-extra-joint-care-grain-free,,wet,adult,"Turkey 38% (Turkey Meal, Freshly Prepared Turkey), Peas, Potatoes, Chicken Fat, Sweet Potatoes, Cellulose, Lucerne, Un-Molassed Beet Pulp, Full Fat Linseed, Salmon Oil, Dried Cranberries (0.5%), Mannan Oligosaccharides, Glucosamine, Seaweed, Milk Thistle, Dried Carrots, Green Lipped Mussel, Yucca Shidigera, Blackcurrant, Rosehip, Pomegranate, Kale, Beetroot.",en,,,,,,,,,aadf,2025-09-12T08:53:18.474902,c2127bef4eba223ef13ff3de5c252e47,1964486317200f9c
Butchers,Butchers,tripe mix gb label,tripe mix gb label,https://www.allaboutdogfood.co.uk/dog-food-reviews/2451/butchers-tripe-mix-gb-label,,wet,unknown,"Meat and Animal Derivatives 50% (of which Tripe 27%), Minerals.",en,,,,,,,,,aadf,2025-09-12T08:53:18.474986,59f24542224e2b9836c81e33516fe962,0f3a7c81c7e857c4
CSJ,CSJ,fit n fast,fit n fast,https://www.allaboutdogfood.co.uk/dog-food-reviews/0246/csj-fit-n-fast,,dry,unknown,"Salmon (26%), Maize, Barley, Chicken Fat, Prairie Meal, Chicken Liver (3.5%), Oats, Unmolassed Beet Pulp, Full Fat Linseed, Alfalfa, Peas, Dicalcium Phosphate, Yeast, Potassium Chloride, Milk Thistle, Marigold, Seaweed, Mint, Yucca Schidigera, Rosemary.",en,,,,,,,,,aadf,2025-09-12T08:53:18.475059,9d46529674d6eb3aaa1c8eb758df22b4,60db7ab2e9fc279d
Royal Canin,Royal Canin,labrador retriever adult,labrador retriever,https://www.allaboutdogfood.co.uk/dog-food-reviews/2766/royal-canin-labrador-retriever-adult,,wet,senior,"Maize, Rice, Dehydrated Beef and Pork Protein, Dehydrated Poultry Protein, Hydrolysed Animal Proteins, Animal Fats, Vegetable Fibres, Beet Pulp, Maize Gluten, Wheat, Yeasts and Parts Thereof, Fish Oil, Minerals, Soya Oil, Psyllium Husks and Seeds, Fructo-Oligo-Saccharides, Hydrolysed Crustaceans, Borage Oil (0.1%), Marigold Extract, Hydrolysed Cartilage.",en,,,,,,,,,aadf,2025-09-12T08:53:18.475242,ffb8f6118b7c47318b156e82873cc5e9,8a126f9b688d8aab
Edgard,Edgard,and cooper adult bio organic cups,and cooper bio organic cups,https://www.allaboutdogfood.co.uk/dog-food-reviews/1753/edgard-and-cooper-adult-bio-organic-cups,,wet,adult,"Organic Pork*, Organic Turkey* 26%, Organic Chicken*, Minerals, Organic Coconut* 0.15%, Organic Chia Seeds* 0.15%, Organic Rosehips* 0.1%, Organic Chamomile* 0.1%. *Produced from Controlled Organic Farming.",en,,,,,,,,,aadf,2025-09-12T08:53:18.475372,14925025fb0917254b64510aafb6238a,85e95fcc7ab4c360
Wainwrights,Wainwrights,adult grain free,grain free,https://www.allaboutdogfood.co.uk/dog-food-reviews/0875/wainwrights-dry-adult-grain-free,,wet,adult,"Lamb 34% (Lamb Meal 24.5%, Freshly Prepared Lamb 5%, Lamb Fat 4.5%), Potato, Sweet Potato (20%), Potato Protein, Peas (5%), Minerals, Beet Pulp (2%), Linseed (2%), Dried Carrot (0.5%), Seaweed Meal (0.5%), Chicory Root Extract (0.1%), Dried Broccoli (0.05%), Dried Rosehip, Dried Parsley, Dried Thyme, Yucca Extract (0.02%), Dried Spearmint.",en,,,4.5,,,,,,aadf,2025-09-12T08:53:18.475475,e2083c746c958d87d0c7e1b591290c5d,9f2dbc4192468e2f
Chudleys,Chudleys,lite,lite,https://www.allaboutdogfood.co.uk/dog-food-reviews/0329/chudleys-lite,,wet,unknown,"Whole Grain Wheat, Whole Grain Oats, Poultry Meal, Whole Grain Maize, Whole Grain Barley, Hydrolysed Chicken, Unmolassed Beet Pulp, Prairie Meal, Rice, Yeast (Source of Mannan Oligosaccharides), Alfalfa, Peas, Minerals, Carrots, Salmon Oil, Cinnamon, Blackcurrant, Rosemary, Pomegranate, Rosehips, Yucca Schidigera, Beetroot",en,,,,,,,,,aadf,2025-09-12T08:53:18.475571,b13224b092dcba147fc4ceb5845ef287,94931164ee2072eb
